0,1,2
0.6523527,0.19492084,0.5757428
0.3731829,0.46195346,0.45859623
0.8589859,0.46580043,0.49743146
0.66267854,0.8469689,0.3387519
0.6132,0.7797094,0.39172667
0.5113792,0.48472565,0.7490531
0.2525813,0.56477827,0.58513135
0.7825403,0.4404576,0.5647785
0.58657813,0.22637081,0.591557
0.5472827,0.39906523,0.22507681
0.41624454,0.415459,0.27928492
0.5496318,0.63508844,0.46953705
0.21390058,0.5523657,0.47688097
0.5224193,0.34451762,0.8630435
0.19019888,0.5842075,0.5113398
0.5260815,0.47774807,0.62013966
0.5582162,0.42019644,0.17887005
0.33070847,0.43797144,0.49218935
0.5470547,0.5925481,0.53740245
0.5206561,0.60466486,0.62353075
0.5051041,0.6137673,0.5926014
0.5305839,0.38049388,0.8585884
0.78945374,0.4651361,0.5429483
0.5663173,0.64297825,0.7031894
0.15972939,0.626574,0.62279487
0.55619234,0.6339812,0.59777147
0.85979825,0.4510239,0.49114877
0.46674582,0.41911462,0.23863982
0.22340584,0.50018746,0.53266215
0.5175002,0.42001227,0.6973795
0.56204325,0.4190039,0.1831771
0.846037,0.35919815,0.568632
0.51381403,0.73502064,0.5742943
0.4965332,0.37058848,0.30613884
0.24815963,0.5093785,0.5986658
0.50148445,0.6180423,0.6145451
0.6201292,0.15816538,0.57610834
0.91987723,0.6568346,0.5556256
0.35685134,0.5330266,0.4475741
0.61616933,0.37294587,0.24161948
0.27385673,0.48944074,0.5989484
0.52156264,0.33962235,0.879878
0.89049566,0.57157,0.48747918
0.8552156,0.38629594,0.53604025
0.15319166,0.5869886,0.5074958
0.51958185,0.44344148,0.8050924
0.5343428,0.7165393,0.5702164
0.52380526,0.3653803,0.8951485
0.20128776,0.6504839,0.6298237
0.46870512,0.4183598,0.23850279
0.68274325,0.87963694,0.46512613
0.11618062,0.6796368,0.73341054
0.7235715,0.9172481,0.33396915
0.37387025,0.4242161,0.48474225
0.9432298,0.72440326,0.5622462
0.18223873,0.5862224,0.62742126
0.10945675,0.66365427,0.676973
0.028496742,0.7338987,0.8168871
0.55148774,0.59282446,0.62121624
0.784872,0.3573709,0.5541424
0.52158964,0.6913832,0.46726307
0.60373044,0.18845555,0.55811095
0.14802994,0.6371161,0.6320171
0.5864066,0.7531754,0.4370486
0.18956342,0.525151,0.4075218
0.15045182,0.55901337,0.5159641
0.5985009,0.41654313,0.15984486
0.5854776,0.69326186,0.7203912
0.53492844,0.42692032,0.8241555
0.5351377,0.69378877,0.52375
0.9100357,0.5684459,0.5448002
0.24489842,0.5722494,0.59389716
0.34539017,0.45248762,0.5088124
0.51643145,0.4022926,0.72647667
0.36101368,0.43074623,0.5010824
0.6690857,0.9174356,0.42476326
0.6574033,0.8616643,0.34731212
0.61868083,0.8812424,0.4392889
0.101980336,0.6725332,0.6520169
0.4031617,0.41656387,0.31862766
0.516353,0.7062825,0.59294385
0.54702514,0.40497592,0.23484701
0.81813055,0.57057625,0.59160507
0.20773014,0.5136461,0.41098756
0.6631535,0.20461209,0.57021236
0.7652804,0.3937655,0.57285094
0.51928973,0.71544963,0.58647555
0.3353123,0.4343043,0.36048007
0.6361623,0.8106974,0.4634554
0.82135856,0.55177957,0.5432202
0.27696028,0.51146525,0.6009648
0.7723526,0.4432333,0.5864384
0.6085649,0.79491717,0.49985483
0.5281596,0.4414529,0.67068535
0.9321144,0.5050322,0.578218
0.52045333,0.5275247,0.8205659
0.8994251,0.3826886,0.5495208
0.960343,0.52787054,0.5640819
0.5876608,0.75246817,0.43100613
0.054182883,0.72542393,0.8140624
0.5220808,0.3783898,0.8108079
0.44404116,0.39399132,0.37345675
0.90847623,0.37260348,0.5111123
0.9656346,0.55612373,0.51302737
0.5523264,0.60775256,0.71613926
0.8100809,0.43387708,0.571412
0.5492893,0.6934829,0.7610026
0.78846705,0.4505211,0.53675675
0.6738247,0.86578953,0.3408344
0.079989135,0.7185851,0.7642812
0.24977092,0.5318629,0.5648777
0.9566183,0.7606662,0.56480783
0.24796052,0.5774736,0.5163676
0.578809,0.41891733,0.1681666
0.5408593,0.7566017,0.42630064
0.8848138,0.6818774,0.5773338
0.22209512,0.5720545,0.5009687
0.5369225,0.41286847,0.18401861
0.3928452,0.41717166,0.38059637
0.57758164,0.7473902,0.45396283
0.560951,0.18892066,0.5906105
0.5844056,0.8074466,0.6352544
0.61736935,0.37983748,0.24933445
0.04806284,0.7249331,0.7952321
0.5185654,0.55385214,0.8152551
0.17926155,0.6573174,0.62556374
0.613937,0.23011579,0.586084
0.9963483,0.56006557,0.5081566
0.87480086,0.32787526,0.50638974
0.90091324,0.55211025,0.46143672
0.523392,0.6363152,0.59338605
0.91027874,0.5573312,0.45834664
0.7127321,0.9134747,0.34542736
0.56886315,0.6450436,0.63396055
0.19464144,0.51272744,0.4523163
0.97141486,0.6683819,0.5234185
0.35988396,0.52843666,0.45037824
0.18003929,0.5635182,0.5748242
0.3868853,0.39389595,0.44351017
0.033412054,0.73108256,0.79314417
0.5460715,0.4984268,0.8777824
0.5743125,0.40887687,0.17279597
0.5331311,0.4574221,0.878444
0.4002018,0.4201256,0.4047739
0.9542153,0.45927566,0.5060868
0.9651207,0.44464472,0.48686087
0.57285863,0.7169189,0.5626649
0.5065936,0.57904303,0.67720515
0.57009643,0.6496877,0.63703793
0.15516558,0.6388953,0.56363934
0.49555734,0.4070452,0.23866679
0.3935766,0.4281186,0.34461534
0.5341381,0.4030215,0.8441296
0.5591425,0.54583174,0.7410804
0.49999103,0.66207075,0.67506856
0.85647434,0.31912932,0.5129225
0.13916793,0.63584846,0.6116997
0.542238,0.6633187,0.59559464
0.2910207,0.47595042,0.40501016
0.46829486,0.37838435,0.27772224
0.5054566,0.6027074,0.5779268
0.81439376,0.52302635,0.5870286
0.50733507,0.6697268,0.6612418
0.09007674,0.7089416,0.76586425
0.24819455,0.5370021,0.572323
0.8771256,0.4083761,0.55983615
0.27063072,0.5181992,0.5398929
0.60808384,0.8192878,0.5536673
0.20649229,0.5563607,0.65779454
0.54807186,0.41137102,0.18103237
0.675167,0.91368484,0.47278428
0.5211872,0.38072383,0.82150036
0.1656674,0.62715316,0.66558903
0.5544892,0.64685607,0.45170516
0.58971244,0.17906846,0.58140934
0.942905,0.73177123,0.56434184
0.24389121,0.51314133,0.43944782
0.66286415,0.39573646,0.1929338
0.44805792,0.37497577,0.3033827
0.30064684,0.46502075,0.3795713
0.97044486,0.47529384,0.5150914
0.20873892,0.5516737,0.6553098
0.5665876,0.6642766,0.6634089
0.14259228,0.636157,0.57309335
0.59789115,0.81627285,0.63510025
0.5189496,0.3586548,0.801375
0.5694955,0.68447554,0.4609258
0.2974029,0.52021855,0.5367572
0.57284987,0.75599545,0.3883866
0.9452166,0.750572,0.5680495
0.18363398,0.5595616,0.5817935
0.6317708,0.81702244,0.4063972
0.86557925,0.37135968,0.5647849
0.89557165,0.40352613,0.517298
0.6080301,0.82755107,0.41883546
0.6074448,0.7670739,0.373825
0.6548605,0.8513533,0.43263665
0.53201497,0.56014895,0.74389756
0.07763298,0.70383745,0.7438441
0.57857263,0.63395965,0.75646526
0.6160867,0.416045,0.15241048
0.52944255,0.36079586,0.31579486
0.29246756,0.4451487,0.38531342
0.91921663,0.5433065,0.4652794
0.5620812,0.7900841,0.59772485
0.5180426,0.54973066,0.8052682
0.36194146,0.41393983,0.44133195
0.81110555,0.5490987,0.5926089
0.51839876,0.34831142,0.91362745
0.22300377,0.5277877,0.48781425
0.70943534,0.23332304,0.55957794
0.06903175,0.7085164,0.7535095
0.15281804,0.59392464,0.5783513
0.75372404,0.93848103,0.33516774
0.6775279,0.40766126,0.14699648
0.5134076,0.46342066,0.8396587
0.6608651,0.8772779,0.33705583
0.23479673,0.51501626,0.40578696
0.5159823,0.69947016,0.6550657
0.28834245,0.5486736,0.59304184
0.08110508,0.7172313,0.77296436
0.23804097,0.50700086,0.6181726
0.35769677,0.43548724,0.32622504
0.49175715,0.46521512,0.76006246
0.535009,0.7652053,0.6309719
0.20147076,0.5596226,0.66369236
0.56177694,0.6084586,0.73055464
0.33059552,0.4200503,0.46029457
0.56416935,0.6705019,0.74595857
